date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:12	150022/150022	---MCZ	200	added ('OK')	text/html	etag:W/%220aa130aab673b8c3b8db5bdec97382ba%22	https://themeforest.net/item/simone-personal-portfolio-react-template/42757507	C:/My%20Web%20Sites/aaa/themeforest.net/item/simone-personal-portfolio-react-template/42757507.html	(from )
19:47:12	340/340	---MCZ	200	added ('OK')	text/plain	etag:W/%2264587dbd-336%22	https://themeforest.net/robots.txt		(from )
19:47:13	111517/111517	---MCZ	200	added ('OK')	application/javascript	etag:W/%227baa082d66863a0e986693c24be770ad%22	https://public-assets.envato-static.com/assets/market/core/datadog-6e0a82e33e89d2ccc3d24ebc9398c846d30049b1335f6d4e7500b311f94439be.js	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/assets/market/core/datadog-6e0a82e33e89d2ccc3d24ebc9398c846d30049b1335f6d4e7500b311f94439be.js	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:13	80685/80685	---MCZ	200	added ('OK')	application/javascript	etag:W/%22de6c8a0d04709d023d3549a933f61e50%22	https://public-assets.envato-static.com/assets/market/core/rollbar-bfaf1c79ce5359e6718bdde712def50123e5da2474554f90e1e60ad641648ec6.js	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/assets/market/core/rollbar-bfaf1c79ce5359e6718bdde712def50123e5da2474554f90e1e60ad641648ec6.js	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:14	25751/25751	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20May%202023%2016:01:57%20GMT	https://themeforest.img.customer.envatousercontent.com/files/446694334/preview/preview.__large_preview.jpg?auto=compress%2Cformat&q=80&fit=crop&crop=top&max-h=8000&max-w=590&s=e5d93ceb772cdb3581a4a21c40fbf9a3	C:/My%20Web%20Sites/aaa/themeforest.img.customer.envatousercontent.com/files/446694334/preview/preview.__large_previewd07e.jpg	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:14	56337/56337	---M--	200	added ('OK')	image/png	etag:%22616011db88935edc6a2fef5c746a08c5%22	https://public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/assets/generated_sprites/logos-20f56d7ae7a08da2c6698db678490c591ce302aedb1fcd05d3ad1e1484d3caf9.png	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:14	9797/9797	---M--	200	added ('OK')	image/png	etag:%2264089c65cdcb56ecdfdcccb445fb844c%22	https://public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/assets/generated_sprites/common-5af54247f3a645893af51456ee4c483f6530608e9c15ca4a8ac5a6e994d9a340.png	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:14	3056/3056	---M--	200	added ('OK')	image/png	etag:%223305876b2f17da6c9a0d8c1bb60b62db%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-72x72-precomposed.png	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:15	6700/6700	---M--	200	added ('OK')	image/png	etag:%2271bb96fca73f4ae046c5e4860cb86af5%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-114x114-precomposed.png	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
19:47:15	9251/9251	---M--	200	added ('OK')	image/png	etag:%22571b0585baccf30bde09cb6e5aad849f%22	https://public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	C:/My%20Web%20Sites/aaa/public-assets.envato-static.com/icons/themeforest.net/apple-touch-icon-144x144-precomposed.png	(from https://themeforest.net/item/simone-personal-portfolio-react-template/42757507)
